CVEID	Method or Impact	Context	Artifact	Countermeasure	Phase	Category
CVE-2023-5246	Authentication Bypass	Application	Windows Shortcut File	File Analysis	Identification	File
CVE-2023-5246	Authentication Bypass	Application	Windows Shortcut File	Asset Vulnerability Enumeration	Identification	File
CVE-2023-5246	Authentication Bypass	Application	Authentication	Authentication Event Thresholding	Identification	General
CVE-2023-5246	Authentication Bypass	Application	Authentication	Resource Access Pattern Analysis	Identification	General
CVE-2023-5246	Authentication Bypass	Application	Authentication	Session Duration Analysis	Identification	General
CVE-2023-5246	Authentication Bypass	Application	Authentication	Asset Vulnerability Enumeration	Identification	General
CVE-2023-5246	Authentication Bypass	Application	Authentication Log	Asset Vulnerability Enumeration	Identification	Network
CVE-2023-5246	Privilege Escalation	Application	Process Code Segment	Process Code Segment Verification	Identification	Process
CVE-2023-5246	Privilege Escalation	Application	Process Code Segment	Memory Boundary Tracking	Identification	Process
CVE-2023-5246	Privilege Escalation	Application	Process Code Segment	Process Segment Execution Prevention	Identification	Process
CVE-2023-5246	Privilege Escalation	Application	Process Code Segment	Segment Address Offset Randomization	Containment	Process
CVE-2023-5246	Privilege Escalation	Application	Process Code Segment	Asset Vulnerability Enumeration	Identification	Process
CVE-2023-5246	Privilege Escalation	Application	Stack Frame	Stack Frame Canary Validation	Identification	General
CVE-2023-5246	Privilege Escalation	Application	Stack Frame	Shadow Stack Comparisons	Identification	General
CVE-2023-5246	Privilege Escalation	Application	Stack Frame	Asset Vulnerability Enumeration	Identification	General
CVE-2023-5604	Code Execution	Application	Application	Software Update	Containment	General
CVE-2023-5604	Code Execution	Application	Application	Asset Vulnerability Enumeration	Identification	General
CVE-2023-5604	Code Execution	Application	Application	Service Binary Verification	Identification	General
CVE-2023-5604	Privilege Escalation	Application	Process Code Segment	Process Code Segment Verification	Identification	Process
CVE-2023-5604	Privilege Escalation	Application	Process Code Segment	Memory Boundary Tracking	Identification	Process
CVE-2023-5604	Privilege Escalation	Application	Process Code Segment	Process Segment Execution Prevention	Identification	Process
CVE-2023-5604	Privilege Escalation	Application	Process Code Segment	Segment Address Offset Randomization	Containment	Process
CVE-2023-5604	Privilege Escalation	Application	Process Code Segment	Asset Vulnerability Enumeration	Identification	Process
CVE-2023-5604	Privilege Escalation	Application	Stack Frame	Stack Frame Canary Validation	Identification	General
CVE-2023-5604	Privilege Escalation	Application	Stack Frame	Shadow Stack Comparisons	Identification	General
CVE-2023-5604	Privilege Escalation	Application	Stack Frame	Asset Vulnerability Enumeration	Identification	General
CVE-2023-6553	Code Execution	Application	Application	Software Update	Containment	General
CVE-2023-6553	Code Execution	Application	Application	Asset Vulnerability Enumeration	Identification	General
CVE-2023-6553	Code Execution	Application	Application	Service Binary Verification	Identification	General
